5.05,2.1
2.61,2.41
5.04,1.82
6.03,0.98
6.275,1.03
4.7,1.14
4.93,2.33
1.7,0.77
4.18,2.08
4.19,1.84
4.41,2.23
4.66,2.3
4.47,1.05
5.79,1.08
1.76,2.37
4.22,0.04
3.55,1.39
3.65,0.86
4.17,2.31
6.4,2.13
4.9,1.31
5.05,1.55
5.62,1.3
1.3,0.92
0.66,2.43
4.22,0.92
1.48,0.76
1.16,3.55
0.9,2.42
4.21,1.16
4.22,0.71
4.22,0.47
6.45,1.184
2.57,1.36
4.22,0.26
5.99,2.38
5.55,1.575
1.11,1.34
6.27,2.37
5.535,1.84
5.59,2.1
5.74,2.28
3.574,1.13
3.46,2.14
2.56,0.84
3.55,1.91
3.56,1.64
4.19,1.62
2.84,2.09
0.43,2.44
1.12,2.54
2.57,1.1
3.29,2.32
3.04,2.26
1.18,1.12
2.59,1.62
2.6,1.88
2.6,2.16
2.6,2.68
1.89,0.88
2.03,1.07
1.31,2.38
2.59,2.94
2.6,3.22
2.6,3.5
1.53,2.37
4.2,1.39
1.15,3.28
1.13,2.77
1.14,3.03
1.1,2.28
1.1,2.03
1.1,1.57
1.1,1.8
